代號,簡稱,市場別,產業別,更新日
1101,台泥,上市,水泥工業,2026-01-30 03:31
1102,亞泥,上市,水泥工業,2026-01-30 03:31
1103,嘉泥,上市,水泥工業,2026-01-30 03:31
1104,環泥,上市,水泥工業,2026-01-30 03:31
1108,幸福,上市,水泥工業,2026-01-30 03:31
1109,信大,上市,水泥工業,2026-01-30 03:31
1110,東泥,上市,水泥工業,2026-01-30 03:31
1201,味全,上市,食品工業,2026-01-30 03:31
1203,味王,上市,食品工業,2026-01-30 03:31
1210,大成,上市,食品工業,2026-01-30 03:31
1213,大飲,上市,食品工業,2026-01-30 03:31
1215,卜蜂,上市,食品工業,2026-01-30 03:31
1216,統一,上市,食品工業,2026-01-30 03:31
1217,愛之味,上市,食品工業,2026-01-30 03:31
1218,泰山,上市,食品工業,2026-01-30 03:31
1219,福壽,上市,食品工業,2026-01-30 03:31
1220,台榮,上市,食品工業,2026-01-30 03:31
1225,福懋油,上市,食品工業,2026-01-30 03:31
1227,佳格,上市,食品工業,2026-01-30 03:31
1229,聯華,上市,食品工業,2026-01-30 03:31
1231,聯華食,上市,食品工業,2026-01-30 03:31
1232,大統益,上市,食品工業,2026-01-30 03:31
1233,天仁,上市,食品工業,2026-01-30 03:31
1234,黑松,上市,食品工業,2026-01-30 03:31
1235,興泰,上市,食品工業,2026-01-30 03:31
1236,宏亞,上市,食品工業,2026-01-30 03:31
1240,茂生農經,上櫃,農業科技業,2026-01-30 03:31
1256,鮮活果汁-KY,上市,食品工業,2026-01-30 03:31
1259,安心,上櫃,觀光餐旅,2026-01-30 03:31
1260,富味鄉,興櫃,食品工業,2026-01-30 03:31
1264,德麥,上櫃,食品工業,2026-01-30 03:31
1268,漢來美食,上櫃,觀光餐旅,2026-01-30 03:31
1269,乾杯,興櫃,觀光餐旅,2026-01-30 03:31
1271,晨暉生技,興櫃,生技醫療業,2026-01-30 03:31
1293,利統,興櫃,食品工業,2026-01-30 03:31
1294,漢田生技,上櫃,食品工業,2026-01-30 03:31
1295,生合,上櫃,食品工業,2026-01-30 03:31
1301,台塑,上市,塑膠工業,2026-01-30 03:31
1303,南亞,上市,塑膠工業,2026-01-30 03:31
1304,台聚,上市,塑膠工業,2026-01-30 03:31
1305,華夏,上市,塑膠工業,2026-01-30 03:31
1307,三芳,上市,塑膠工業,2026-01-30 03:31
1308,亞聚,上市,塑膠工業,2026-01-30 03:31
1309,台達化,上市,塑膠工業,2026-01-30 03:31
1310,台苯,上市,塑膠工業,2026-01-30 03:31
1312,國喬,上市,塑膠工業,2026-01-30 03:31
1313,聯成,上市,塑膠工業,2026-01-30 03:31
1314,中石化,上市,塑膠工業,2026-01-30 03:31
1315,達新,上市,塑膠工業,2026-01-30 03:31
1316,上曜,上市,建材營造業,2026-01-30 03:31
1319,東陽,上市,汽車工業,2026-01-30 03:31
1321,大洋,上市,塑膠工業,2026-01-30 03:31
1323,永裕,上市,塑膠工業,2026-01-30 03:31
1324,地球,上市,塑膠工業,2026-01-30 03:31
1325,恆大,上市,塑膠工業,2026-01-30 03:31
1326,台化,上市,塑膠工業,2026-01-30 03:31
1336,台翰,上櫃,電子零組件業,2026-01-30 03:31
1337,再生-KY,上市,塑膠工業,2026-01-30 03:31
1338,廣華-KY,上市,汽車工業,2026-01-30 03:31
