代號,簡稱,市場別,產業別,更新日
1101,台泥,上市,水泥工業,2026-04-24 04:21
1102,亞泥,上市,水泥工業,2026-04-24 04:21
1103,嘉泥,上市,水泥工業,2026-04-24 04:21
1104,環泥,上市,水泥工業,2026-04-24 04:21
1108,幸福,上市,水泥工業,2026-04-24 04:21
1109,信大,上市,水泥工業,2026-04-24 04:21
1110,東泥,上市,水泥工業,2026-04-24 04:21
1201,味全,上市,食品工業,2026-04-24 04:21
1203,味王,上市,食品工業,2026-04-24 04:21
1210,大成,上市,食品工業,2026-04-24 04:21
1213,大飲,上市,食品工業,2026-04-24 04:21
1215,卜蜂,上市,食品工業,2026-04-24 04:21
1216,統一,上市,食品工業,2026-04-24 04:21
1217,愛之味,上市,食品工業,2026-04-24 04:21
1218,泰山,上市,食品工業,2026-04-24 04:21
1219,福壽,上市,食品工業,2026-04-24 04:21
1220,台榮,上市,食品工業,2026-04-24 04:21
1225,福懋油,上市,食品工業,2026-04-24 04:21
1227,佳格,上市,食品工業,2026-04-24 04:21
1229,聯華,上市,食品工業,2026-04-24 04:21
1231,聯華食,上市,食品工業,2026-04-24 04:21
1232,大統益,上市,食品工業,2026-04-24 04:21
1233,天仁,上市,食品工業,2026-04-24 04:21
1234,黑松,上市,食品工業,2026-04-24 04:21
1235,興泰,上市,食品工業,2026-04-24 04:21
1236,宏亞,上市,食品工業,2026-04-24 04:21
1240,茂生農經,上櫃,農業科技業,2026-04-24 04:21
1256,鮮活果汁-KY,上市,食品工業,2026-04-24 04:21
1259,安心,上櫃,觀光餐旅,2026-04-24 04:21
1260,富味鄉,興櫃,食品工業,2026-04-24 04:21
1264,德麥,上櫃,食品工業,2026-04-24 04:21
1268,漢來美食,上櫃,觀光餐旅,2026-04-24 04:21
1269,乾杯,興櫃,觀光餐旅,2026-04-24 04:21
1271,晨暉生技,興櫃,生技醫療業,2026-04-24 04:21
1293,利統,興櫃,食品工業,2026-04-24 04:21
1294,漢田生技,上櫃,食品工業,2026-04-24 04:21
1295,生合,上櫃,食品工業,2026-04-24 04:21
1301,台塑,上市,塑膠工業,2026-04-24 04:21
1303,南亞,上市,塑膠工業,2026-04-24 04:21
1304,台聚,上市,塑膠工業,2026-04-24 04:21
1305,華夏,上市,塑膠工業,2026-04-24 04:21
1307,三芳,上市,塑膠工業,2026-04-24 04:21
1308,亞聚,上市,塑膠工業,2026-04-24 04:21
1309,台達化,上市,塑膠工業,2026-04-24 04:21
1310,台苯,上市,塑膠工業,2026-04-24 04:21
1312,國喬,上市,塑膠工業,2026-04-24 04:21
1313,聯成,上市,塑膠工業,2026-04-24 04:21
1314,中石化,上市,塑膠工業,2026-04-24 04:21
